petal width (cm),sepal width (cm),target
1.5,3.0,versicolor
1.9,2.5,virginica
1.6,2.7,versicolor
0.2,3.1,setosa
0.2,3.2,setosa
1.5,3.0,versicolor
0.2,3.0,setosa
1.4,3.2,versicolor
0.4,3.7,setosa
0.4,3.9,setosa
0.2,3.7,setosa
2.5,3.3,virginica
0.2,3.0,setosa
1.5,3.1,versicolor
1.9,2.7,virginica
0.1,3.0,setosa
1.8,2.8,virginica
2.1,3.3,virginica
1.4,2.6,virginica
0.3,3.5,setosa
0.2,3.3,setosa
2.3,2.6,virginica
2.0,3.0,virginica
0.3,3.5,setosa
0.2,3.1,setosa
1.5,2.2,versicolor
1.9,2.7,virginica
1.3,2.9,versicolor
2.5,3.3,virginica
1.6,3.4,versicolor
2.4,2.8,virginica
1.5,2.9,versicolor
0.2,3.4,setosa
0.2,3.5,setosa
1.2,3.0,versicolor
0.3,3.4,setosa
1.3,2.8,versicolor
1.3,3.0,versicolor
0.4,3.8,setosa
0.2,3.1,setosa
1.3,2.9,versicolor
1.3,2.3,versicolor
1.5,2.5,versicolor
2.1,2.8,virginica
0.2,3.2,setosa
2.0,3.8,virginica
1.5,3.2,versicolor
1.2,2.6,versicolor
1.5,3.0,versicolor
2.3,3.2,virginica
1.2,2.8,versicolor
1.1,2.4,versicolor
0.1,3.1,setosa
2.3,3.0,virginica
2.3,3.4,virginica
1.3,2.5,versicolor
1.9,2.8,virginica
1.2,2.6,versicolor
1.0,2.6,versicolor
0.2,4.0,setosa
1.8,2.5,virginica
0.2,3.6,setosa
1.4,3.0,versicolor
1.6,3.3,versicolor
1.0,2.0,versicolor
1.8,2.9,virginica
2.3,3.2,virginica
0.4,3.9,setosa
1.3,2.9,versicolor
0.2,3.5,setosa
1.1,2.5,versicolor
0.5,3.3,setosa
2.1,3.1,virginica
1.3,2.8,versicolor
2.0,2.8,virginica
0.3,3.8,setosa
0.2,4.2,setosa
0.2,3.4,setosa
1.4,3.0,versicolor
2.1,3.0,virginica
0.4,3.4,setosa
1.3,2.9,versicolor
0.2,3.2,setosa
2.3,3.2,virginica
0.3,2.3,setosa
2.2,2.8,virginica
0.2,3.6,setosa
1.0,2.4,versicolor
2.1,3.0,virginica
1.2,2.7,versicolor
1.1,2.5,versicolor
2.1,3.0,virginica
1.8,3.0,virginica
1.8,3.0,virginica
1.3,2.3,versicolor
1.5,2.8,versicolor
0.2,3.4,setosa
1.3,2.7,versicolor
1.8,3.1,virginica
2.0,2.5,virginica
2.2,3.8,virginica
0.4,3.4,setosa
1.8,3.0,virginica
0.3,3.8,setosa
0.2,2.9,setosa
1.0,2.4,versicolor
1.9,2.7,virginica
0.1,4.1,setosa
1.0,2.2,versicolor
2.0,2.8,virginica
2.3,3.0,virginica
1.8,2.9,virginica
2.5,3.6,virginica
2.3,3.1,virginica
0.1,3.0,setosa
1.3,2.9,versicolor
2.2,3.0,virginica
0.2,3.0,setosa
1.8,3.0,virginica
2.4,3.4,virginica
1.3,2.8,versicolor
1.5,2.2,virginica
1.8,3.2,versicolor
1.4,2.9,versicolor
1.5,3.1,versicolor
0.2,3.7,setosa
1.8,3.2,virginica
2.4,3.1,virginica
2.0,3.2,virginica
1.4,3.1,versicolor
0.2,3.5,setosa
0.2,3.8,setosa
1.0,2.3,versicolor
0.4,4.4,setosa
1.8,2.7,virginica
1.4,2.7,versicolor
0.2,3.4,setosa
0.2,3.4,setosa
0.2,3.2,setosa
1.7,3.0,versicolor
1.0,2.7,versicolor
1.7,2.5,virginica
0.1,3.6,setosa
0.3,3.0,setosa
1.5,2.8,virginica
0.2,3.4,setosa
0.6,3.5,setosa
0.2,3.2,setosa
1.4,2.8,versicolor
1.6,3.0,virginica
